transaction_date,transaction_time,product_category,product_name,quantity,sales_amount
2024-07-21,16:43:09.0000000,Service,Gloss Varnish,1,4.54
2024-07-18,13:59:50.0000000,Figurines,doreamon batman,1,38.57
2024-07-12,20:44:57.0000000,Figurines,Grandma,1,36.310000000000002
2024-07-09,13:15:58.0000000,Figurines,Kuromi - Bowtie,1,34.719999999999999
2024-06-22,13:56:34.0000000,Figurines,Skull Panda - Rabbit Trainer,1,45.450000000000003
2024-06-22,13:56:34.0000000,Figurines,Couple - Avo Duck,1,50
2024-06-22,13:56:34.0000000,Figurines,Ltd Ed - Hello Kitty Baby,1,36.359999999999999
2024-06-22,13:56:34.0000000,Figurines,Kuromi - Clown,1,40.909999999999997
2024-06-22,13:52:25.0000000,Figurines,Couple - Avo Duck,1,45.369999999999997
2024-06-22,13:52:25.0000000,Figurines,Skull Panda - Rabbit Trainer,1,41.25
2024-06-22,13:52:25.0000000,Figurines,Kuromi - Heart,1,37.119999999999997
2024-06-15,21:03:08.0000000,Service,Gloss Varnish,1,4.54
2024-06-15,21:03:08.0000000,Service,Gloss Varnish,1,4.54
2024-06-15,21:03:08.0000000,Service,Gloss Varnish,1,4.54
2024-06-15,21:03:08.0000000,Service,Gloss Varnish,1,4.54
2024-06-15,21:03:08.0000000,Service,Gloss Varnish,1,4.54
2024-06-15,21:03:08.0000000,Service,Gloss Varnish,1,4.54
2024-06-15,21:03:08.0000000,Service,Gloss Varnish,1,4.54
2024-06-15,21:03:08.0000000,Service,Gloss Varnish,1,4.54
2024-06-15,21:03:08.0000000,Service,Gloss Varnish,1,4.54
2024-06-15,21:03:08.0000000,Service,Gloss Varnish,1,4.54
2024-06-09,23:01:26.0000000,Service,Gloss Varnish,1,4.54
2024-06-07,17:56:34.0000000,Figurines,Kuromi - Evil Large,1,45.380000000000003
2024-05-20,18:14:03.0000000,Figurines,Damaged Item,1,22.690000000000001
2024-05-18,22:41:37.0000000,Service,Gloss Varnish,1,4.5499999999999998
2024-05-16,21:18:36.0000000,Service,Gloss Varnish,1,4.5499999999999998
2024-05-05,17:27:57.0000000,Service,Gloss Varnish,1,4.5499999999999998
2024-05-05,17:26:38.0000000,Service,Gloss Varnish,1,4.5499999999999998
2024-04-29,19:46:33.0000000,Beverages,Soft Drink - Can,1,2.73
2024-04-29,19:46:33.0000000,Beverages,Soft Drink - Can,1,2.73
2024-04-29,19:46:33.0000000,Beverages,Soft Drink - Can,1,2.73
2024-04-29,19:28:53.0000000,Beverages,Soft Drink - Can,1,2.73
2024-04-29,19:28:53.0000000,Beverages,Soft Drink - Can,1,2.73
2024-04-29,19:27:55.0000000,Beverages,Soft Drink - Can,1,2.73
2024-04-29,19:27:55.0000000,Beverages,Soft Drink - Can,1,2.73
2024-04-29,19:27:33.0000000,Beverages,Soft Drink - Can,1,2.73
2024-04-29,19:27:33.0000000,Beverages,Soft Drink - Can,1,2.73
2025-07-26,11:41:32.0000000,Figurines,SP the Mummy ,1,18.670000000000002
2025-07-26,11:41:32.0000000,Figurines,SP the Emperor ,1,18.670000000000002
2025-07-26,11:41:32.0000000,Figurines,SP Suit Tie ,1,18.68
2025-07-26,11:41:32.0000000,Figurines,Dim Dim ,1,20.760000000000002
2025-07-26,11:41:32.0000000,Figurines,Kuro the Eclipse ,1,18.670000000000002
2025-07-03,13:09:37.0000000,Figurines,Kuro the King ,1,40.840000000000003
2025-06-29,15:27:03.0000000,Service,Gloss Varnish,1,4.54
2025-06-29,15:27:03.0000000,Service,Gloss Varnish,1,4.54
2025-06-29,15:26:51.0000000,Service,Gloss Varnish,1,4.54
2025-06-29,15:26:51.0000000,Service,Gloss Varnish,1,4.5499999999999998
2025-06-01,15:35:18.0000000,Figurines,Cinna ,1,40.850000000000001
2025-05-27,17:25:32.0000000,Service,Gloss Varnish,1,4.54
2025-05-27,17:25:32.0000000,Service,Gloss Varnish,1,4.5499999999999998
2025-04-14,16:46:10.0000000,Service,Gloss Varnish,1,4.5499999999999998
2025-03-02,18:12:46.0000000,Figurines,Strawberry Bear Balloon ,1,40.909999999999997
2025-02-23,18:14:21.0000000,Service,Gloss Varnish,1,4.54
2025-02-23,18:14:21.0000000,Service,Gloss Varnish,1,4.54
2025-02-23,18:14:21.0000000,Service,Gloss Varnish,1,4.54
2025-02-23,18:14:21.0000000,Service,Gloss Varnish,1,4.54
2025-02-23,11:10:31.0000000,Figurines,Capybara Bathtub ,1,22.690000000000001
2025-02-22,19:18:54.0000000,Figurines,BuBu LaLa ,1,45.380000000000003
2025-02-16,13:57:07.0000000,Figurines,Ninja Pizza R ,1,40.909999999999997
2025-01-22,12:19:21.0000000,Figurines,Couple Tomato Rabbit ,1,50
2025-01-03,11:04:17.0000000,Figurines,Capybara with  Piggy Hat ,1,45.380000000000003
2024-12-29,15:50:26.0000000,Refund,Gloss,-1,-4.5499999999999998
2024-12-10,14:16:59.0000000,Refund,Raws - Furry,-1,-45.380000000000003
2024-12-05,17:48:53.0000000,Refund,Raws - Furry,-1,-45.380000000000003
2024-11-16,15:43:13.0000000,Refund,Gloss Varnish,-1,-4.5499999999999998
2024-11-14,20:14:20.0000000,Refund,Gloss Varnish,-1,-4.5499999999999998
2024-11-14,20:14:20.0000000,Refund,Gloss Varnish,-1,-4.5499999999999998
2024-11-14,20:14:20.0000000,Refund,Gloss Varnish,-1,-4.54
2024-11-14,20:14:20.0000000,Refund,Gloss Varnish,-1,-4.5499999999999998
2024-11-14,20:14:20.0000000,Refund,Gloss Varnish,-1,-4.5499999999999998
2024-10-26,23:07:45.0000000,Refund,Gloss Varnish,-1,-4.54
2024-10-24,14:25:12.0000000,Refund,Larva - Small A,-1,-24.539999999999999
2024-10-24,14:25:12.0000000,Refund,Larva - Small B,-1,-17.18
2024-10-24,14:25:12.0000000,Refund,Hello kitkat,-1,-45.460000000000001
2024-10-13,17:23:37.0000000,Refund,Gloss Varnish,-1,-4.5499999999999998
2024-10-02,18:09:51.0000000,Refund,Kuro - Eclipse,-1,-34.719999999999999
2024-10-02,18:09:51.0000000,Refund,Apple Baby,-1,-27
2024-09-25,14:55:16.0000000,Refund,Monster - Suli & Mike,-1,-54.460000000000001
2024-09-20,19:50:28.0000000,Refund,Apple Baby,-1,-31.82
2024-09-20,19:50:28.0000000,Refund,Astro Bear,-1,-45.450000000000003
2024-09-09,17:10:02.0000000,Refund,New Product,-1,-0.91000000000000003
2024-08-29,14:20:37.0000000,Refund,Holder - Lucky Cat 2,-1,-13.91
2024-08-28,14:43:46.0000000,Refund,New Product,-1,-30.859999999999999
2024-08-27,13:47:58.0000000,Refund,Dino - Baby,-1,-25.449999999999999
2024-08-27,13:47:58.0000000,Refund,Rabbit - Carrot,-1,-27.050000000000001
2024-08-22,20:27:26.0000000,Refund,Kuro - Clown Hat,-1,-40.909999999999997
2024-08-22,20:27:26.0000000,Refund,Kuro – Magician Hat,-1,-40.909999999999997
2024-08-13,13:25:24.0000000,Refund,Capybara - Bathtub,-1,-38.57
2024-08-12,16:17:43.0000000,Refund,Gloss Varnish,-1,-4.5499999999999998
2024-08-07,19:23:43.0000000,Refund,Pat,-1,-36.310000000000002
2024-08-06,22:37:10.0000000,Refund,Astro Bear,-1,-45.380000000000003
2024-08-06,19:51:06.0000000,Refund,Couple – Resting Bear,-1,-49.920000000000002
2024-08-06,16:14:14.0000000,Refund,baa baa sheep,-1,-30.91
2024-07-31,21:21:44.0000000,Refund,New Product,-1,-454.55000000000001
2024-07-25,14:37:25.0000000,Refund,Gloss Varnish,-1,-3.8599999999999999
2024-07-21,16:46:37.0000000,Refund,Gloss Varnish,-1,-4.54
2024-07-21,16:46:37.0000000,Refund,Gloss Varnish,-1,-4.54
2024-07-18,14:00:51.0000000,Refund,doreamon batman,-1,-38.57
2024-07-12,20:46:32.0000000,Refund,Grandma,-1,-36.310000000000002
2024-07-09,13:19:02.0000000,Refund,Kuromi - Bowtie,-1,-34.719999999999999
2024-06-22,13:56:49.0000000,Refund,Skull Panda - Rabbit Trainer,-1,-45.450000000000003
2024-06-22,13:56:49.0000000,Refund,Couple - Avo Duck,-1,-50
2024-06-22,13:56:49.0000000,Refund,Ltd Ed - Hello Kitty Baby,-1,-36.359999999999999
2024-06-22,13:56:49.0000000,Refund,Kuromi - Clown,-1,-40.909999999999997
2024-06-22,13:52:46.0000000,Refund,Couple - Avo Duck,-1,-45.369999999999997
2024-06-22,13:52:46.0000000,Refund,Skull Panda - Rabbit Trainer,-1,-41.25
2024-06-22,13:52:46.0000000,Refund,Kuromi - Heart,-1,-37.119999999999997
2024-06-15,21:04:29.0000000,Refund,Gloss Varnish,-1,-4.54
2024-06-15,21:04:29.0000000,Refund,Gloss Varnish,-1,-4.54
2024-06-15,21:04:29.0000000,Refund,Gloss Varnish,-1,-4.54
2024-06-15,21:04:29.0000000,Refund,Gloss Varnish,-1,-4.54
2024-06-15,21:04:29.0000000,Refund,Gloss Varnish,-1,-4.54
2024-06-15,21:04:29.0000000,Refund,Gloss Varnish,-1,-4.54
2024-06-15,21:04:29.0000000,Refund,Gloss Varnish,-1,-4.54
2024-06-15,21:04:29.0000000,Refund,Gloss Varnish,-1,-4.54
2024-06-15,21:04:29.0000000,Refund,Gloss Varnish,-1,-4.54
2024-06-15,21:04:29.0000000,Refund,Gloss Varnish,-1,-4.54
2024-06-09,23:03:10.0000000,Refund,Gloss Varnish,-1,-4.54
2024-06-07,17:58:43.0000000,Refund,Kuromi - Evil Large,-1,-45.380000000000003
2024-05-20,18:14:24.0000000,Refund,Damaged Item,-1,-22.690000000000001
2024-05-18,22:42:52.0000000,Refund,Gloss Varnish,-1,-4.5499999999999998
2024-05-16,21:19:02.0000000,Refund,Gloss Varnish,-1,-4.5499999999999998
2024-05-05,17:28:20.0000000,Refund,Gloss Varnish,-1,-4.5499999999999998
2024-05-05,17:28:20.0000000,Refund,Gloss Varnish,-1,-4.5499999999999998
2024-04-29,19:49:38.0000000,Refund,Soft Drink - Can,-1,-2.73
2024-04-29,19:49:23.0000000,Refund,Soft Drink - Can,-1,-2.73
2024-04-29,19:49:09.0000000,Refund,Soft Drink - Can,-1,-2.73
2024-04-29,19:30:38.0000000,Refund,Soft Drink - Can,-1,-2.73
2024-04-29,19:30:26.0000000,Refund,Soft Drink - Can,-1,-2.73
2024-04-29,19:30:38.0000000,Refund,Soft Drink - Can,-1,-2.73
2024-04-29,19:30:26.0000000,Refund,Soft Drink - Can,-1,-2.73
2024-04-29,19:30:38.0000000,Refund,Soft Drink - Can,-1,-2.73
2024-04-29,19:30:26.0000000,Refund,Soft Drink - Can,-1,-2.73
2025-07-26,11:42:19.0000000,Refund,SP the Mummy ,-1,-18.670000000000002
2025-07-26,11:42:19.0000000,Refund,SP the Emperor ,-1,-18.670000000000002
2025-07-26,11:42:19.0000000,Refund,SP Suit Tie ,-1,-18.68
2025-07-26,11:42:19.0000000,Refund,Dim Dim ,-1,-20.760000000000002
2025-07-26,11:42:19.0000000,Refund,Kuro the Eclipse ,-1,-18.670000000000002
2025-07-03,13:10:43.0000000,Refund,Kuro the King ,-1,-40.840000000000003
2025-06-29,15:27:19.0000000,Refund,Gloss Varnish,-1,-4.54
2025-06-29,15:27:19.0000000,Refund,Gloss Varnish,-1,-4.54
2025-06-29,15:27:19.0000000,Refund,Gloss Varnish,-1,-4.54
2025-06-29,15:27:19.0000000,Refund,Gloss Varnish,-1,-4.5499999999999998
2025-06-01,15:36:37.0000000,Refund,Cinna ,-1,-40.850000000000001
2025-05-27,17:26:13.0000000,Refund,Gloss Varnish,-1,-4.54
2025-05-27,17:26:13.0000000,Refund,Gloss Varnish,-1,-4.5499999999999998
2025-04-14,16:46:39.0000000,Refund,Gloss Varnish,-1,-4.5499999999999998
2025-03-02,18:15:36.0000000,Refund,Strawberry Bear Balloon ,-1,-40.909999999999997
2025-02-23,18:18:22.0000000,Refund,Gloss Varnish,-1,-4.54
2025-02-23,18:18:22.0000000,Refund,Gloss Varnish,-1,-4.54
2025-02-23,18:18:22.0000000,Refund,Gloss Varnish,-1,-4.54
2025-02-23,18:18:22.0000000,Refund,Gloss Varnish,-1,-4.54
2025-02-23,11:13:52.0000000,Refund,Capybara Bathtub ,-1,-22.690000000000001
2025-02-22,19:20:10.0000000,Refund,BuBu LaLa ,-1,-45.380000000000003
2025-02-16,13:59:19.0000000,Refund,Ninja Pizza R ,-1,-40.909999999999997
2025-01-22,12:21:06.0000000,Refund,Couple Tomato Rabbit ,-1,-50
2025-01-03,11:06:09.0000000,Refund,Capybara with  Piggy Hat ,-1,-45.380000000000003
