transaction_date,transaction_time,product_type,product_category,product_name,product_price,discount_amount,sales_amount,quantity
2025-01-02,14:21:32.0000000,Physical Good,Figurines,Mel with Necklace ,40.840000000000003,0,40.840000000000003,1
2025-01-02,14:21:07.0000000,Physical Good,Figurines,Rabbit Bowtie Carrot ,36.310000000000002,0,36.310000000000002,1
2025-01-02,14:11:41.0000000,Cash Payment,Service,Gloss Varnish,5,-5,0,1
2025-01-02,13:54:22.0000000,Physical Good,Figurines,Bubu Lala Flower B ,40.840000000000003,0,40.840000000000003,1
2025-01-02,13:53:13.0000000,Physical Good,Figurines,Dragon Cutie ,36.359999999999999,0,36.359999999999999,1
2025-01-02,13:35:05.0000000,Physical Good,Figurines,Piggy Birthday ,36.359999999999999,0,36.359999999999999,1
2025-01-02,13:34:11.0000000,Physical Good,Figurines,Piggy Happy ,36.359999999999999,0,36.359999999999999,1
2025-01-02,13:28:03.0000000,Physical Good,Figurines,Larva Red ,31.82,0,31.82,1
2025-01-02,13:28:03.0000000,Physical Good,Figurines,Kuro the King ,40.909999999999997,0,40.909999999999997,1
2025-01-02,13:01:50.0000000,Physical Good,Figurines,Strawberry Bear ,40.840000000000003,0,40.840000000000003,1
2025-01-02,13:01:25.0000000,Physical Good,Figurines,Strawberry Bear ,40.840000000000003,0,40.840000000000003,1
2025-01-02,12:57:51.0000000,Physical Good,Figurines,Raws the OG ,45.450000000000003,0,45.450000000000003,1
2025-01-02,12:56:49.0000000,Physical Good,Figurines,Astro Bear ,45.380000000000003,0,45.380000000000003,1
2025-01-02,12:56:02.0000000,Physical Good,Figurines,Raws Furry ,45.380000000000003,0,45.380000000000003,1
2025-01-02,12:55:35.0000000,Physical Good,Figurines,Bubu Lala Flower B ,40.840000000000003,0,40.840000000000003,1
2025-01-02,12:41:32.0000000,Physical Good,Figurines,Cinna the Princess ,81.819999999999993,0,81.819999999999993,2
2025-01-01,20:34:59.0000000,Cash Payment,Figurines,Kuro with Bowtie,45,-45,0,1
2025-01-01,20:07:09.0000000,Physical Good,Figurines,Pompom ,42.509999999999998,-18,24.510000000000002,1
2025-01-01,20:07:09.0000000,Physical Good,Service,Gloss,4.7199999999999998,-2,2.7200000000000002,1
2025-01-01,19:26:39.0000000,Cash Payment,Figurines,Mel with Bowtie ,45,-45,0,1
2025-01-01,19:26:39.0000000,Cash Payment,Service,Gloss,5,-5,0,1
2025-01-01,18:20:03.0000000,Physical Good,Beverages,Drink - SPRITE,2.7200000000000002,0,2.7200000000000002,1
2025-01-01,17:27:16.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2025-01-01,17:27:16.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2025-01-01,17:11:11.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2025-01-01,17:10:54.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2025-01-01,17:08:36.0000000,Cash Payment,Beverages,Drink - Red Bull,5,-5,0,1
2025-01-01,17:07:11.0000000,Physical Good,Figurines,Piggy the Queen ,36.310000000000002,0,36.310000000000002,1
2025-01-01,16:54:13.0000000,Physical Good,Figurines,SP the Sailor Moon ,45.380000000000003,0,45.380000000000003,1
2025-01-01,16:23:46.0000000,Physical Good,Figurines,Kuro the King ,40.850000000000001,0,40.850000000000001,1
2025-01-01,16:23:46.0000000,Physical Good,Figurines,BuBu LaLa ,45.380000000000003,0,45.380000000000003,1
2025-01-01,16:22:37.0000000,Physical Good,Figurines,Capybara with Watermelon ,45.380000000000003,0,45.380000000000003,1
2025-01-01,16:22:37.0000000,Physical Good,Figurines,Bubu lala Snack ,45.380000000000003,0,45.380000000000003,1
2025-01-01,15:56:12.0000000,Physical Good,Figurines,Capybara Mother & Child ,54.460000000000001,0,54.460000000000001,1
2025-01-01,15:52:52.0000000,Physical Good,Figurines,Lion King ,36.310000000000002,0,36.310000000000002,1
2025-01-01,15:48:09.0000000,Physical Good,Figurines,Teddy with Tote ,36.310000000000002,0,36.310000000000002,1
2025-01-01,15:42:56.0000000,Physical Good,Figurines,Ducky With Little Bag ,36.310000000000002,0,36.310000000000002,1
2025-01-01,15:39:58.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2025-01-01,15:39:58.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2025-01-01,15:31:02.0000000,Cash Payment,Figurines,Mel with Necklace ,45,-45,0,1
2025-01-01,15:31:02.0000000,Cash Payment,Figurines,Capybara on Donut ,50,-50,0,1
2025-01-01,15:31:02.0000000,Cash Payment,Figurines,Raws Furry ,50,-50,0,1
2025-01-01,15:04:33.0000000,Physical Good,Beverages,Drink - Red Bull,4.54,0,4.54,1
2025-01-01,15:04:13.0000000,Physical Good,Figurines,Teddy with Tote ,36.359999999999999,0,36.359999999999999,1
2025-01-01,15:04:13.0000000,Physical Good,Figurines,Bubu lala Snack ,45.460000000000001,0,45.460000000000001,1
2025-01-01,14:18:23.0000000,Physical Good,Figurines,Piggy Happy ,36.310000000000002,0,36.310000000000002,1
2025-01-01,14:18:23.0000000,Physical Good,Figurines,Kuro the Evil ,45.380000000000003,0,45.380000000000003,1
2025-01-01,14:18:23.0000000,Physical Good,Beverages,Drink - Banana Milk,3.3999999999999999,0,3.3999999999999999,1
2025-01-01,14:08:35.0000000,Physical Good,Figurines,Piggy the Queen ,36.299999999999997,0,36.299999999999997,1
2025-01-01,14:08:35.0000000,Physical Good,Figurines,Capybara Chicken Hat ,45.380000000000003,0,45.380000000000003,1
2025-01-01,14:08:35.0000000,Physical Good,Figurines,Mel  ,36.310000000000002,0,36.310000000000002,1
2025-01-01,14:08:35.0000000,Physical Good,Figurines,SP Mermaid ,45.380000000000003,0,45.380000000000003,1
2025-01-01,13:55:30.0000000,Physical Good,Figurines,Capybara TV ,45.380000000000003,0,45.380000000000003,1
2025-01-01,13:55:30.0000000,Physical Good,Figurines,Capybara with  Piggy Hat ,45.380000000000003,0,45.380000000000003,1
2025-01-01,13:23:02.0000000,Physical Good,Figurines,Capybara on Crocodile ,45.380000000000003,0,45.380000000000003,1
2025-01-01,11:40:09.0000000,Cash Payment,Figurines,Cinna the Magician Hat ,45,-45,0,1
2025-01-01,11:40:09.0000000,Cash Payment,Figurines,Larva Red ,35,-35,0,1
2024-12-31,17:37:34.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-31,17:13:52.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-31,17:13:52.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-31,17:02:38.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-31,17:02:18.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-31,17:02:18.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-31,16:29:35.0000000,Physical Good,Figurines,Capybara Chicken Hat ,45.380000000000003,0,45.380000000000003,1
2024-12-31,16:29:35.0000000,Physical Good,Figurines,Mel  ,36.310000000000002,0,36.310000000000002,1
2024-12-31,15:45:43.0000000,Physical Good,Beverages,Drink - Milkis,2.73,0,2.73,1
2024-12-31,15:44:37.0000000,Physical Good,Figurines,Capybara Turtle Hat ,45.380000000000003,0,45.380000000000003,1
2024-12-31,15:44:37.0000000,Physical Good,Figurines,New Product,40.840000000000003,0,40.840000000000003,1
2024-12-31,15:44:37.0000000,Physical Good,Figurines,Larva Red ,31.77,0,31.77,1
2024-12-31,15:08:56.0000000,Physical Good,Beverages,Drink - Banana Milk,3.4100000000000001,0,3.4100000000000001,1
2024-12-31,15:08:56.0000000,Physical Good,Beverages,Drink - COKE,2.7200000000000002,0,2.7200000000000002,1
2024-12-31,15:08:10.0000000,Physical Good,Figurines,Larva Yellow Funny ,31.77,0,31.77,1
2024-12-31,15:07:51.0000000,Physical Good,Figurines,Pompom ,40.840000000000003,0,40.840000000000003,1
2024-12-31,14:20:17.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-31,13:46:47.0000000,Physical Good,Figurines,Larva Pink ,31.82,0,31.82,1
2024-12-31,13:46:47.0000000,Physical Good,Figurines,Larva Yellow Funny ,31.82,0,31.82,1
2024-12-31,13:46:47.0000000,Physical Good,Figurines,Larva Red ,31.809999999999999,0,31.809999999999999,1
2024-12-31,13:41:46.0000000,Physical Good,Figurines,Teddy with Tote ,77.060000000000002,-48.189999999999998,28.870000000000001,2
2024-12-31,13:41:46.0000000,Physical Good,Beverages,Drink - WATER,2.8900000000000001,-1.8100000000000001,1.0800000000000001,1
2024-12-31,13:31:59.0000000,Cash Payment,Service,Gloss Varnish,5,-5,0,1
2024-12-31,13:22:54.0000000,Physical Good,Figurines,Astronaut ,36.670000000000002,-4,32.670000000000002,1
2024-12-31,13:22:54.0000000,Physical Good,Figurines,Larva Pink ,32.090000000000003,-3.5,28.59,1
2024-12-31,13:22:54.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-31,13:22:54.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-31,13:04:58.0000000,Cash Payment,Beverages,Drink - Lipton LEMON,5,-5,0,1
2024-12-31,13:03:57.0000000,Cash Payment,Service,Gloss Varnish,5,-5,0,1
2024-12-31,13:02:41.0000000,Physical Good,Figurines,Dragon Cutie ,36.359999999999999,0,36.359999999999999,1
2024-12-31,12:58:52.0000000,Physical Good,Figurines,BuBu LaLa ,45.380000000000003,0,45.380000000000003,1
2024-12-31,11:54:10.0000000,Physical Good,Beverages,Drink - WATER,2.8599999999999999,-1.5,1.3600000000000001,1
2024-12-31,11:52:41.0000000,Physical Good,Figurines,Larva Yellow Funny ,31.82,0,31.82,1
2024-12-30,20:35:04.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-30,20:35:04.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-30,19:54:40.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-30,19:37:41.0000000,Physical Good,Figurines,Rabbit holds Fish ,40.840000000000003,0,40.840000000000003,1
2024-12-30,19:35:49.0000000,Physical Good,Figurines,Mel  ,36.310000000000002,0,36.310000000000002,1
2024-12-30,18:40:24.0000000,Physical Good,Figurines,BuBu LaLa ,45.380000000000003,0,45.380000000000003,1
2024-12-30,18:40:24.0000000,Physical Good,Figurines,Bubu lala Snack ,45.390000000000001,0,45.390000000000001,1
2024-12-30,18:40:24.0000000,Physical Good,Beverages,Drink - SPRITE,2.7200000000000002,0,2.7200000000000002,1
2024-12-30,18:15:01.0000000,Physical Good,Figurines,Capybara Chicken Hat ,45.380000000000003,0,45.380000000000003,1
2024-12-30,17:45:22.0000000,Physical Good,Beverages,Drink - Banana Milk,10.210000000000001,0,10.210000000000001,3
2024-12-30,16:43:00.0000000,Physical Good,Figurines,Kuro the Eclipse ,40.840000000000003,0,40.840000000000003,1
2024-12-30,16:07:09.0000000,Physical Good,Figurines,Raws the OG ,47.950000000000003,-27.780000000000001,20.170000000000002,1
2024-12-30,16:07:09.0000000,Physical Good,Figurines,Mel  ,38.359999999999999,-22.219999999999999,16.140000000000001,1
2024-12-30,15:48:12.0000000,Physical Good,Figurines,Capybara on Donut ,45.380000000000003,0,45.380000000000003,1
2024-12-30,15:29:16.0000000,Physical Good,Figurines,Mel with Necklace ,81.689999999999998,0,81.689999999999998,2
2024-12-30,14:31:28.0000000,Physical Good,Beverages,Drink - SPRITE,2.7200000000000002,0,2.7200000000000002,1
2024-12-30,14:31:28.0000000,Physical Good,Beverages,Drink - Milkis,2.73,0,2.73,1
2024-12-30,13:45:54.0000000,Physical Good,Figurines,Piggy the Queen ,36.310000000000002,0,36.310000000000002,1
2024-12-30,13:34:26.0000000,Physical Good,Beverages,Drink - WATER,2.8599999999999999,-1.5,1.3600000000000001,1
2024-12-30,13:08:16.0000000,Physical Good,Figurines,SP the Sailor Moon ,47.719999999999999,-25,22.719999999999999,1
2024-12-30,13:08:16.0000000,Physical Good,Figurines,Nami ,47.729999999999997,-25,22.73,1
2024-12-30,12:58:00.0000000,Physical Good,Figurines,Piggy the Queen ,36.299999999999997,0,36.299999999999997,1
2024-12-30,12:58:00.0000000,Physical Good,Figurines,Piggy Happy ,36.310000000000002,0,36.310000000000002,1
2024-12-30,12:58:00.0000000,Physical Good,Figurines,Cinna with Bowtied ,40.840000000000003,0,40.840000000000003,1
2024-12-30,12:54:19.0000000,Physical Good,Figurines,Larva Yellow Funny ,31.77,0,31.77,1
2024-12-30,12:54:19.0000000,Physical Good,Figurines,Teddy with Tote ,36.299999999999997,0,36.299999999999997,1
2024-12-30,12:54:19.0000000,Physical Good,Figurines,Capybara on Crocodile ,45.380000000000003,0,45.380000000000003,1
2024-12-30,12:33:03.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-30,12:24:35.0000000,Physical Good,Figurines,Bubu Lala Flower B ,40.840000000000003,0,40.840000000000003,1
2024-12-30,12:24:18.0000000,Physical Good,Figurines,Cinna ,36.310000000000002,0,36.310000000000002,1
2024-12-30,11:56:49.0000000,Physical Good,Figurines,Kuro the Magician ,40.840000000000003,0,40.840000000000003,1
2024-12-30,11:56:49.0000000,Physical Good,Figurines,Rabbit with Glasses ,36.310000000000002,0,36.310000000000002,1
2024-12-30,11:56:49.0000000,Physical Good,Figurines,Raws the OG ,45.380000000000003,0,45.380000000000003,1
2024-12-30,11:53:04.0000000,Physical Good,Figurines,Dragon Cutie ,36.299999999999997,0,36.299999999999997,1
2024-12-30,11:53:04.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-30,11:51:36.0000000,Physical Good,Figurines,Kuro with Bowtie,40.840000000000003,0,40.840000000000003,1
2024-12-30,11:43:46.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-30,11:43:46.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-30,11:35:23.0000000,Physical Good,Figurines,Nami ,45.380000000000003,0,45.380000000000003,1
2024-12-30,11:35:23.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-30,11:34:29.0000000,Physical Good,Figurines,Bubu Lala Flower B ,40.840000000000003,0,40.840000000000003,1
2024-12-30,11:34:29.0000000,Physical Good,Figurines,Raws Furry ,45.380000000000003,0,45.380000000000003,1
2024-12-30,11:34:29.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-30,11:34:29.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-30,11:09:08.0000000,Physical Good,Figurines,Mel with Bowtie ,40.909999999999997,0,40.909999999999997,1
2024-12-30,11:04:47.0000000,Physical Good,Figurines,Cinna ,36.310000000000002,0,36.310000000000002,1
2024-12-30,11:02:37.0000000,Physical Good,Figurines,Bubu Lala Flower B ,40.840000000000003,0,40.840000000000003,1
2024-12-29,19:43:19.0000000,Physical Good,Service,Gloss,4.54,0,4.54,1
2024-12-29,18:35:18.0000000,Physical Good,Refund,Raws the OG ,-45.380000000000003,0,-45.380000000000003,-1
2024-12-29,18:24:31.0000000,Physical Good,Figurines,Pok the Pi on Saturn ,42.969999999999999,-22.960000000000001,20.010000000000002,1
2024-12-29,18:24:31.0000000,Physical Good,Figurines,Kir On Star ,42.960000000000001,-22.960000000000001,20,1
2024-12-29,18:24:31.0000000,Physical Good,Beverages,Drink - Lipton PEACH,4.7699999999999996,-2.5499999999999998,2.2200000000000002,1
2024-12-29,18:24:31.0000000,Physical Good,Beverages,Drink - COKE,2.8700000000000001,-1.53,1.3400000000000001,1
2024-12-29,18:22:33.0000000,Physical Good,Figurines,Raws the OG ,45.380000000000003,0,45.380000000000003,1
2024-12-29,17:18:24.0000000,Physical Good,Figurines,Capybara Turtle Hat ,47.810000000000002,-26.32,21.489999999999998,1
2024-12-29,17:18:24.0000000,Physical Good,Figurines,SP - Cat,43.030000000000001,-23.68,19.350000000000001,1
2024-12-29,17:15:34.0000000,Cash Payment,Beverages,Drink - Lipton PEACH,5,-5,0,1
2024-12-29,16:39:38.0000000,Cash Payment,Figurines,Pompom ,45,-45,0,1
2024-12-29,16:18:51.0000000,Physical Good,Figurines,BuBu LaLa ,45.380000000000003,0,45.380000000000003,1
2024-12-29,15:50:26.0000000,Physical Good,Refund,Gloss,-4.5499999999999998,0,-4.5499999999999998,-1
2024-12-29,15:45:40.0000000,Physical Good,Service,Gloss,4.5499999999999998,0,4.5499999999999998,1
2024-12-29,15:39:46.0000000,Physical Good,Figurines,Rabbit holds Fish ,40.850000000000001,0,40.850000000000001,1
2024-12-29,15:39:46.0000000,Physical Good,Figurines,Capybara on Donut ,45.380000000000003,0,45.380000000000003,1
2024-12-29,15:32:07.0000000,Physical Good,Figurines,BuBu LaLa ,45.380000000000003,0,45.380000000000003,1
2024-12-29,15:32:07.0000000,Physical Good,Figurines,Bowtie Cat School Girl ,40.840000000000003,0,40.840000000000003,1
2024-12-29,15:32:07.0000000,Physical Good,Service,Gloss,9.0800000000000001,0,9.0800000000000001,2
2024-12-29,15:00:49.0000000,Physical Good,Service,Gloss,13.640000000000001,0,13.640000000000001,3
2024-12-29,14:34:24.0000000,Physical Good,Figurines,Pompom ,40.840000000000003,0,40.840000000000003,1
2024-12-29,14:34:24.0000000,Physical Good,Service,Gloss,4.54,0,4.54,1
2024-12-29,14:27:45.0000000,Physical Good,Beverages,Drink - SPRITE,2.73,0,2.73,1
2024-12-29,14:06:54.0000000,Cash Payment,Figurines,Teddy with Tote ,40,-40,0,1
2024-12-29,13:09:47.0000000,Physical Good,Figurines,Strawberry Bear Balloon ,40.909999999999997,0,40.909999999999997,1
2024-12-29,13:09:47.0000000,Physical Good,Figurines,Capybara Turtle Hat ,45.450000000000003,0,45.450000000000003,1
2024-12-29,13:09:47.0000000,Physical Good,Figurines,Dor the Astronaut ,40.909999999999997,0,40.909999999999997,1
2024-12-29,12:20:56.0000000,Physical Good,Service,Gloss,9.0899999999999999,0,9.0899999999999999,2
2024-12-29,11:13:37.0000000,Physical Good,Figurines,Cinna the Princess ,40.840000000000003,0,40.840000000000003,1
2024-12-29,11:13:37.0000000,Physical Good,Figurines,Mel  ,36.310000000000002,0,36.310000000000002,1
2024-12-28,22:09:49.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-28,22:00:04.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-28,20:39:36.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-28,20:13:21.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-28,20:13:21.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-28,19:54:41.0000000,Physical Good,Figurines,Teddy with Tote ,77.230000000000004,-50,27.23,2
2024-12-28,19:24:44.0000000,Service,Service,Repeat painting,9.0800000000000001,0,9.0800000000000001,1
2024-12-28,18:23:55.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-28,18:23:55.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-28,18:16:21.0000000,Physical Good,Figurines,Rabbit holds Fish ,40.840000000000003,0,40.840000000000003,1
2024-12-28,18:16:21.0000000,Physical Good,Figurines,Puppy ,36.310000000000002,0,36.310000000000002,1
2024-12-28,17:43:41.0000000,Physical Good,Figurines,Bowtie Cat School Girl ,40.840000000000003,0,40.840000000000003,1
2024-12-28,17:43:41.0000000,Physical Good,Figurines,Mel with Bowtie ,40.850000000000001,0,40.850000000000001,1
2024-12-28,17:43:41.0000000,Physical Good,Beverages,Drink - Lipton LEMON,4.54,0,4.54,1
2024-12-28,17:43:41.0000000,Physical Good,Beverages,Drink - COKE ZERO,2.7200000000000002,0,2.7200000000000002,1
2024-12-28,17:42:09.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-28,17:27:56.0000000,Physical Good,Beverages,Drink - COKE,2.7200000000000002,0,2.7200000000000002,1
2024-12-28,17:27:56.0000000,Physical Good,Beverages,Drink - COKE ZERO,2.73,0,2.73,1
2024-12-28,16:46:22.0000000,Physical Good,Figurines,Pompom ,40.840000000000003,0,40.840000000000003,1
2024-12-28,15:56:03.0000000,Physical Good,Figurines,Raws the OG ,45.380000000000003,0,45.380000000000003,1
2024-12-28,15:56:03.0000000,Physical Good,Figurines,SP - Cat,40.850000000000001,0,40.850000000000001,1
2024-12-28,15:49:50.0000000,Physical Good,Figurines,Cinna ,36.310000000000002,0,36.310000000000002,1
2024-12-28,15:05:33.0000000,Physical Good,Beverages,Drink - WATER,2.7200000000000002,0,2.7200000000000002,1
2024-12-28,14:51:30.0000000,Physical Good,Figurines,Bowtie Cat School Girl ,40.850000000000001,0,40.850000000000001,1
2024-12-28,14:51:30.0000000,Physical Good,Figurines,Dor the Astronaut ,40.840000000000003,0,40.840000000000003,1
2024-12-28,14:51:30.0000000,Physical Good,Beverages,Drink - Red Bull,4.54,0,4.54,1
2024-12-28,14:48:34.0000000,Physical Good,Figurines,Cat Piggy ,36.310000000000002,0,36.310000000000002,1
2024-12-28,14:48:34.0000000,Physical Good,Figurines,Dor the Fal ,40.840000000000003,0,40.840000000000003,1
2024-12-28,14:05:40.0000000,Physical Good,Figurines,Capybara the Office Man ,45.380000000000003,0,45.380000000000003,1
2024-12-28,13:47:18.0000000,Physical Good,Figurines,Capybara Backpack ,45.380000000000003,0,45.380000000000003,1
2024-12-28,12:55:27.0000000,Physical Good,Figurines,Mel with Bowtie ,40.909999999999997,0,40.909999999999997,1
2024-12-28,12:55:12.0000000,Physical Good,Figurines,Piggy the Queen ,36.310000000000002,0,36.310000000000002,1
2024-12-28,12:45:33.0000000,Physical Good,Figurines,BuBu LaLa ,45.380000000000003,0,45.380000000000003,1
2024-12-28,12:05:06.0000000,Physical Good,Figurines,Cinna the Princess ,40.840000000000003,0,40.840000000000003,1
2024-12-28,11:43:52.0000000,Physical Good,Figurines,SP - Cat,40.840000000000003,0,40.840000000000003,1
2024-12-28,11:18:40.0000000,Physical Good,Figurines,Cinna with Bowtied ,40.909999999999997,0,40.909999999999997,1
2024-12-28,11:18:02.0000000,Physical Good,Figurines,Piggy Peachy ,36.359999999999999,0,36.359999999999999,1
2024-12-28,11:16:51.0000000,Physical Good,Figurines,Dragon Cutie ,38.530000000000001,-24.100000000000001,14.43,1
2024-12-28,11:16:51.0000000,Physical Good,Figurines,Larva Red ,33.710000000000001,-21.079999999999998,12.630000000000001,1
2024-12-28,11:16:51.0000000,Physical Good,Beverages,Drink - Lipton PEACH,4.8200000000000003,-3.0099999999999998,1.8100000000000001,1
2024-12-28,11:16:51.0000000,Physical Good,Beverages,Drink - COKE,2.8900000000000001,-1.8100000000000001,1.0800000000000001,1
2024-12-27,18:18:00.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-27,18:18:00.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-27,17:56:42.0000000,Physical Good,Figurines,Dragon Cutie ,36.359999999999999,0,36.359999999999999,1
2024-12-27,17:54:27.0000000,Physical Good,Figurines,Mel  ,36.359999999999999,0,36.359999999999999,1
2024-12-27,17:53:51.0000000,Physical Good,Figurines,Mel with Bowtie ,40.840000000000003,0,40.840000000000003,1
2024-12-27,17:53:51.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-27,17:53:51.0000000,Physical Good,Beverages,Drink - Lipton PEACH,4.54,0,4.54,1
2024-12-27,17:41:50.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-27,17:41:50.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-27,17:37:22.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2024-12-27,16:32:23.0000000,Physical Good,Figurines,Capybara the Office Man ,47.810000000000002,-26.32,21.489999999999998,1
2024-12-27,16:32:23.0000000,Physical Good,Figurines,Mel with Necklace ,43.030000000000001,-23.68,19.350000000000001,1
2024-12-27,16:21:30.0000000,Physical Good,Figurines,Puppy ,36.310000000000002,0,36.310000000000002,1
2024-12-27,15:53:19.0000000,Physical Good,Figurines,Sleepy Sparkle ,36.310000000000002,0,36.310000000000002,1
2024-12-27,15:52:58.0000000,Physical Good,Figurines,Cinna ,36.359999999999999,0,36.359999999999999,1
